C1= C2= C3= C4= 
[1205, 441][1248, 401][1321, 562][1372, 513]
[1070.03, 175.214][1114.56, 130.716][1173.18, 284.2][1229.22, 230.593]
[1069.69, 185.376][1113.69, 140.919][1173.47, 294.787][1227.67, 240.316]
[1069.47, 195.5][1115.26, 151.082][1173.2, 304.974][1226.51, 249.829]
[1069.33, 203.356][1114.33, 158.973][1172.76, 312.885][1225.67, 257.767]
[1074.22, 207.762][1119.98, 164.513][1179.07, 318.167][1232.21, 263.345]
[1081.34, 213.062][1128.52, 170.971][1187.03, 324.974][1241.18, 270.659]
[1089.64, 218.498][1134.88, 177.03][1195.42, 330.755][1250.36, 275.454]
[1097.14, 224.82][1145.3, 183.279][1204.65, 337.891][1259.1, 282.101]
[1098.33, 226.845][1146.62, 185.395][1205.98, 340.048][1260.45, 284.196]
[1102.01, 237.914][1148.62, 194.341][1212.54, 352.804][1266.53, 295.195]
[1101.39, 249.254][1149.05, 204.587][1214.43, 366.183][1269.34, 308.951]
[1101.25, 261.098][1150.23, 215.952][1215.48, 380.35][1271.33, 322.796]
[1100.27, 271.768][1149.66, 226.555][1217.09, 393.579][1273.35, 335.505]
[1099.49, 281.83][1149.46, 235.734][1217.66, 404.976][1274.22, 345.958]
[1098.31, 292.146][1147.05, 244.826][1218.05, 416.29][1274.28, 356.836]
[1096.27, 302.6][1145.15, 254.903][1217.17, 427.478][1272.03, 367.148]
[1092.46, 313.496][1142.28, 264.692][1212.3, 438.085][1269.14, 377.09]
[1086.17, 322.311][1137, 273.762][1206.28, 447.757][1262.44, 388.739]
[1078, 330.11][1129.03, 281.505][1198.25, 455.9][1253.88, 397.052]
[1068.8, 336.546][1120.84, 287.895][1189.46, 462.888][1243.56, 405.005]
[1060.16, 340.472][1111, 291.818][1181.06, 466.884][1234.25, 408.375]
[1053.84, 342.943][1103.19, 294.022][1176.27, 470.21][1227.67, 410.117]
[1049.32, 344.582][1099.17, 295.467][1171.81, 471.38][1224.31, 411.448]
[1046.52, 343.59][1097.57, 295.163][1169.01, 470.816][1221.55, 412.667]
[1044.39, 342.147][1096.65, 294.26][1167.15, 469.694][1219.72, 412.933]
[1042.34, 340.443][1096.9, 293.26][1165.83, 468.481][1218.42, 412.796]
[1041.4, 339.764][1095.25, 292.855][1165.42, 467.885][1218.05, 411.656]
[1041.62, 340.654][1094.64, 292.86][1164.93, 467.71][1217.31, 410.225]
[1042.17, 341.174][1094.52, 293.249][1164.35, 467.935][1217.37, 410.577]
[1042.14, 341.13][1094.52, 293.658][1165.36, 468.472][1218.05, 409.558]
[1041.66, 341.482][1093.49, 293.539][1164.55, 468.706][1217.55, 408.862]
[1041.93, 341.583][1091.68, 293.28][1164, 468.145][1217.24, 408.139]
[1042.22, 340.689][1091.73, 292.939][1165.02, 468.104][1217.61, 407.429]
[1043.07, 340.977][1092.4, 293.108][1165.87, 467.936][1217.96, 407.578]
[1043.25, 341.048][1095.48, 294.748][1167.14, 468.742][1218.31, 409.47]
[1043.46, 341.257][1096.83, 296.45][1167.62, 469.784][1218.07, 411.083]
[1043.14, 342.1][1097.11, 297.889][1166.94, 470.424][1218.5, 412.993]
[1043.48, 343.24][1095.7, 298.662][1166.43, 470.849][1218.87, 413.302]
[1043.79, 344.008][1096.02, 299.41][1165.26, 471.048][1219.19, 413.683]
[1044.09, 344.769][1096.59, 300.148][1165.49, 471.907][1220.04, 414.68]
