C1= C2= C3= C4= 
[1491, 537][1568, 473][1730, 760][1821, 682]
[1247.29, 311.929][1297.56, 260.045][1382.45, 431.327][1446.12, 375.611]
[1251.77, 319.491][1301.75, 266.67][1386.8, 440.354][1452.88, 385.835]
[1255.34, 326.683][1305.92, 274.012][1393.36, 450.91][1460.97, 397.616]
[1261.04, 335.046][1312.06, 282.496][1401.6, 462.101][1470.08, 408.601]
[1266.63, 344.001][1319.42, 290.682][1409.39, 471.726][1479.08, 418.646]
[1272.11, 351.006][1324.78, 297.391][1417.04, 481.175][1486.17, 425.238]
[1279.17, 357.89][1331.99, 304.059][1427.69, 490.416][1496.62, 434.02]
[1285.19, 362.841][1338.41, 309.135][1435.59, 497.443][1505.8, 441.853]
[1288.02, 367.866][1341.8, 312.819][1442.07, 503.679][1510.34, 444.964]
[1292.39, 372.899][1347.73, 317.122][1447.68, 508.953][1515.28, 450.451]
[1296.21, 375.951][1350.41, 320.206][1452.06, 513.541][1520.56, 454.651]
[1298.44, 379.477][1354.03, 323.773][1455.18, 517.292][1523.49, 459.277]
[1302.4, 386.103][1355.3, 328.423][1459.48, 523.467][1524.76, 462.682]
[1304.17, 395.582][1356.11, 337.547][1460.26, 534.246][1525.76, 475.379]
[1305.96, 399.447][1356.87, 341.449][1461.77, 539.324][1527.74, 481.386]
[1306.64, 399.87][1356.75, 341.346][1462.17, 540.041][1528.49, 481.968]
[1307.61, 395.888][1357.09, 338.131][1463.42, 537.652][1530.3, 478.333]
[1308.22, 391.705][1358.38, 334.273][1464.76, 534.623][1532.64, 474.932]
[1309.75, 389.177][1359.27, 332.007][1467.37, 533.789][1534.29, 471.524]
[1314.33, 390.58][1363.95, 334.489][1471.9, 537.91][1541.53, 475.969]
[1322.95, 397.283][1375.54, 342.037][1483.3, 546.626][1552.12, 484.678]
[1334.62, 406.306][1387.47, 350.847][1493.58, 555.941][1565.5, 493.727]
[1349.2, 415.389][1401.66, 362.074][1507.6, 567.477][1584.21, 508.831]
[1367.22, 431.489][1420.82, 375.494][1531.22, 584.252][1605.36, 524.33]
[1384.92, 447.736][1438.22, 389.666][1551.46, 601.806][1626.24, 541.48]
[1399.94, 463.418][1453.58, 405.491][1569.23, 620.148][1643.02, 559.518]
[1410.49, 478.287][1465.54, 423.661][1581.53, 641.309][1655.68, 579.011]
[1418.32, 496.14][1475.02, 443.785][1589.2, 663.09][1664.78, 601.249]
[1423.76, 517.384][1480.84, 464.452][1595.28, 684.317][1670.18, 624.004]
[1425.51, 535.57][1484.59, 484.49][1598.6, 706.42][1670.06, 643.83]
[1423.29, 553.431][1481.87, 503.478][1594.07, 724.892][1664.02, 661.418]
[1415.98, 570.059][1472.99, 520.954][1583.46, 741.003][1651.08, 676.865]
[1404.76, 583.794][1462.83, 537.039][1567.04, 751.327][1634.33, 689.295]
[1394.73, 596.99][1452.46, 551.159][1551.55, 759.223][1619.74, 701.996]
[1386.83, 607.46][1446.3, 564.065][1538.24, 764.959][1605.11, 709.151]
[1382.85, 612.706][1437.85, 569.389][1530.14, 765.349][1595.72, 711.183]
