C1= C2= C3= C4= 
[1667, 307][1728, 259][1791, 418][1876, 374]
[1215.39, 429.549][1270.88, 373.757][1374.4, 590.462][1457.2, 532.161]
[1219.89, 434.672][1276.03, 378.861][1376.22, 592.91][1461.04, 538.21]
[1227.04, 440.905][1280.97, 381.931][1384, 594.837][1466.36, 539.688]
[1234.46, 440.152][1288.3, 382.795][1390.88, 594.013][1473.39, 539.595]
[1243.17, 438.727][1297.63, 382.352][1398.66, 592.589][1481.58, 538.982]
[1252.28, 436.556][1308.51, 380.099][1410.02, 590.21][1491, 537.168]
[1262.23, 431.975][1318.22, 375.468][1418.91, 585.818][1500.42, 532.01]
[1271.64, 423.533][1327.54, 366.715][1430.73, 575.568][1510.66, 520.54]
[1279.41, 412.734][1335.65, 355.402][1438.43, 566.027][1519.75, 509.148]
[1287.04, 404.531][1343.34, 346.243][1447.48, 558.281][1527.89, 501.091]
[1292.8, 396.149][1349.52, 339.442][1452.09, 552.025][1534.13, 494.573]
[1296.54, 391.714][1354.51, 336.245][1455.55, 548.695][1538.57, 491.02]
[1299.82, 394.098][1359.41, 339.304][1457.5, 551.099][1543.02, 494.674]
[1302.77, 404.984][1360.78, 348.983][1461.48, 564.039][1547.2, 506.832]
[1305.45, 421.558][1364.31, 365.492][1466.73, 585.389][1552.03, 526.694]
[1308.78, 441.848][1367.47, 385.449][1471.49, 607.633][1557.32, 547.49]
[1314.87, 462.538][1373.49, 405.315][1481.01, 632.392][1568.67, 571.417]
[1325.71, 483.841][1384.3, 425.417][1491.61, 654.503][1587, 598.63]
[1343.09, 505.631][1401.98, 446.004][1516.26, 683.482][1614.15, 627.812]
[1364.7, 526.409][1424.99, 467.3][1536.58, 704.034][1644.12, 654.259]
[1388.26, 545.003][1449.38, 486.028][1571.78, 732.455][1676.34, 678.281]
[1411.21, 560.986][1473.85, 501.553][1596.75, 750.756][1708.42, 699.48]
[1430.71, 574.909][1492.81, 512.259][1627.22, 770.381][1735.63, 713.253]
[1441.24, 578.709][1508.7, 517.625][1641.81, 777.906][1754.55, 721.422]
[1443.78, 577.378][1512.19, 515.229][1656.24, 784.469][1762.99, 721.86]
[1442.59, 577.74][1513.44, 513.928][1663.19, 788.757][1766.4, 723.731]
[1437.78, 578.118][1511.36, 513.616][1663.93, 792.897][1764.65, 725.452]
[1430.68, 578.993][1505.18, 514.565][1660.03, 797.359][1759.37, 727.51]
[1420.71, 580.234][1494.72, 515.323][1644.79, 797.997][1749.36, 730.66]
[1411.58, 583.659][1486.6, 520.122][1640.31, 803.966][1741.72, 734.01]
[1404.84, 584.439][1480.62, 522.56][1626.66, 800.521][1735.93, 736.049]
[1398.87, 582.354][1475.19, 521.483][1609.73, 790.439][1730.79, 736.263]
[1393.54, 580.396][1469.66, 518.586][1610.77, 793.983][1725.64, 733.968]
[1392.18, 579.717][1471.57, 516.032][1617.15, 797.193][1727.42, 733.787]
[1393.35, 579.46][1472.92, 515.49][1628.8, 805.321][1732.87, 735.544]
