C1= C2= C3= C4= 
[1173, 356][1228, 313][1302, 487][1368, 435]
[1018.58, 372.856][1055.91, 328.54][1174.69, 533.114][1209.94, 494.855]
[1019.79, 372.397][1055.7, 328.773][1175.9, 532.17][1208.63, 495.929]
[1020.73, 371.846][1055.55, 327.598][1176.57, 532.407][1207.66, 495.981]
[1021.45, 371.318][1055.46, 326.875][1178.26, 532.79][1206.72, 496.762]
[1022, 371.036][1055.7, 326.44][1178.14, 531.773][1206.35, 496.027]
[1029.26, 358.398][1063.62, 324.256][1179.47, 531.72][1206.15, 496.445]
[1027.98, 360.759][1071.67, 323.241][1179.65, 531.202][1218.55, 489.448]
[1026.98, 361.801][1068.21, 323.077][1180.06, 530.85][1216.21, 490.907]
[1026.99, 365.656][1073.91, 321.18][1178.41, 530.766][1226.23, 483.496]
[1026.7, 365.634][1070.69, 322.891][1179.65, 530.509][1223.27, 485.466]
[1027.05, 365.85][1068.49, 323.336][1180.33, 529.988][1220.14, 486.943]
[1027.56, 368.363][1073.74, 320.144][1180.02, 529.962][1230.29, 481.21]
[1028.25, 367.793][1071.34, 320.187][1180.91, 529.096][1226.66, 482.939]
[1028.77, 368.272][1078.26, 318.319][1183.02, 528.785][1235.74, 476.705]
[1029.11, 367.34][1074.68, 319.038][1183.77, 528.973][1230.98, 481.772]
[1029.36, 366.652][1071.88, 320.2][1186.32, 529.154][1227.56, 485.165]
[1029.54, 366.716][1069.7, 321.99][1186.3, 529.328][1224.6, 487.836]
[1029.96, 367.639][1067.41, 323.694][1185.7, 529.479][1221.99, 490.515]
[1029.97, 368.412][1065.61, 324.787][1185.77, 530.229][1219.66, 492.936]
[1029.36, 369.072][1064.22, 326.831][1186.08, 531.169][1217.02, 495.405]
[1028.31, 369.894][1062.6, 328.991][1185.44, 532.494][1214.74, 497.588]
[1027.49, 372.533][1068.75, 327.817][1183.79, 534.101][1224.37, 489.314]
[1026.84, 374.036][1066.08, 330.946][1191.51, 525.478][1232.02, 486.214]
[1026.33, 377.234][1076.47, 332.499][1189.28, 529.632][1237.83, 483.053]
[1025.94, 379.949][1083.5, 333.094][1185.8, 532.286][1242.47, 481.283]
[1025.36, 381.426][1084.23, 331.252][1184.27, 534.333][1245.07, 479.42]
[1025.2, 380.83][1077.94, 332.097][1182.81, 535.339][1236.21, 484.557]
[1024.5, 379.524][1072.75, 333.914][1190.26, 526.382][1240.78, 481.677]
[1024.26, 380.186][1075.27, 331.566][1187.41, 529.221][1243.65, 478.364]
[1024.37, 380.946][1079.46, 330.032][1184.33, 530.882][1246.88, 477.045]
[1024.46, 379.521][1074.12, 330.559][1182.81, 531.889][1236.78, 482.335]
[1023.96, 376.695][1069.96, 328.683][1190.21, 520.669][1240.35, 477.31]
[1023.31, 374.506][1072.16, 323.548][1188.19, 522.908][1242.46, 470.953]
[1021.4, 370.284][1066.77, 321.61][1185.21, 521.568][1231.58, 473.218]
[1020.22, 367.598][1068.56, 316.453][1181.77, 520.558][1233.91, 465.098]
[1018.49, 363.597][1062.91, 314.233][1179.41, 518.994][1223.02, 467.68]
[1016.6, 359.964][1057.98, 311.424][1174.78, 515.839][1214.6, 469.446]
[1014.41, 357.769][1061.79, 307.244][1170.07, 513.159][1218.76, 462.542]
